Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Brown,Danville Christian,12/21/19,0.5,Neutral,2,58,57,31,66,0
Shawnee,Portland Christian,12/21/19,26,Portland Christian,0,79,53,226,208,0
Calloway County,OUT_STATE,12/21/19,8,Neutral,2,62,54,40,0,0
Paducah Tilghman,Calloway County,12/21/19,9,Paducah Tilghman,1,61,52,197,40,0
Paducah Tilghman,University Heights,12/21/19,6,Paducah Tilghman,1,72,66,197,251,0
University Heights,OUT_STATE,12/21/19,21,Neutral,2,85,64,251,0,0
Knott County Central,Letcher County Central,12/21/19,13,Letcher County Central,0,72,59,138,145,0
Barren County,Meade County,12/21/19,30,Neutral,2,65,35,12,170,0
Metcalfe County,Green County,12/21/19,2,Neutral,2,62,60,173,107,0
Thomas Nelson,Edmonson County,12/21/19,5,Edmonson County,0,71,66,244,78,0
OUT_STATE,Perry County Central,12/21/19,29,Neutral,2,72,43,0,202,0
Holmes,Grant County,12/21/19,6,Neutral,2,80,74,123,103,0
Lexington Catholic,Scott,12/21/19,31,Neutral,2,87,56,147,223,0
Simon Kenton,Pendleton County,12/21/19,20,Simon Kenton,1,79,59,229,201,0
OUT_STATE,Bath County,12/21/19,15,Neutral,2,68,53,0,13,0
Johnson Central,Bell County,12/21/19,3,Neutral,2,64,61,134,16,0
OUT_STATE,Phelps,12/21/19,2,Neutral,2,67,65,0,203,0
OUT_STATE,Pikeville,12/21/19,10,Neutral,2,61,51,0,205,0
Russell County,Buckhorn,12/21/19,12,Neutral,2,58,46,219,33,0
OUT_STATE,Calvary Christian,12/21/19,12,Neutral,2,58,46,0,41,0
Whitefield Academy,Oneida Baptist Institute,12/21/19,7,Neutral,2,78,71,266,192,0
Bowling Green,Christian County,12/21/19,15,Neutral,2,66,51,25,51,0
Greenwood,North Hardin,12/21/19,3,Neutral,2,58,55,109,187,0
South Warren,Apollo,12/21/19,28,South Warren,1,81,53,233,4,0
OUT_STATE,Boyd County,12/21/19,9,Neutral,2,76,67,0,26,0
Clinton County,Hopkins County Central,12/21/19,14,Clinton County,1,46,32,54,126,0
Clinton County,Eastern,12/21/19,2,Clinton County,1,61,59,54,77,0
Eastern,Logan County,12/21/19,10,Neutral,2,71,61,77,152,0
Taylor County,Hopkins County Central,12/21/19,22,Neutral,2,72,50,243,126,0
Allen County-Scottsville,Cumberland County,12/21/19,39,Neutral,2,69,30,2,64,0
Ohio County,Caverna,12/21/19,47,Neutral,2,84,37,190,47,0
Ohio County,Warren East,12/21/19,27,Warren East,0,80,53,190,258,0
St. Xavier,Allen County-Scottsville,12/21/19,37,Neutral,2,74,37,241,2,0
St. Xavier,Cumberland County,12/21/19,15,Neutral,2,58,43,241,64,0
Warren East,Caverna,12/21/19,25,Warren East,1,85,60,258,47,0
Ashland Blazer,OUT_STATE,12/21/19,13,OUT_STATE,0,71,58,5,0,0
Ballard Memorial,Dawson Springs,12/21/19,6,Dawson Springs,0,69,63,9,68,0
Bracken County,OUT_STATE,12/21/19,8,OUT_STATE,0,68,60,28,0,0
Caldwell County,Union County,12/21/19,8,Union County,0,76,68,39,250,0
East Jessamine,Lincoln County,12/21/19,11,East Jessamine,1,55,44,75,149,0
Floyd Central,Jenkins,12/21/19,57,Floyd Central,1,91,34,88,132,0
Franklin County,Trimble County,12/21/19,32,Franklin County,1,79,47,93,247,0
OUT_STATE,Fairview,12/21/19,12,OUT_STATE,1,73,61,0,85,0
Greenup County,OUT_STATE,12/21/19,9,Neutral,2,75,66,108,0,0
Heritage Academy,Covington Latin,12/21/19,7,Covington Latin,0,73,66,119,62,0
Holy Cross (Louisville),OUT_STATE,12/21/19,1,Holy Cross (Louisville),1,54,53,125,0,0
Mason County,Fleming County,12/21/19,32,Fleming County,0,73,41,165,87,0
Mayfield,Fort Campbell,12/21/19,22,Fort Campbell,0,72,50,166,89,0
Mercer County,OUT_STATE,12/21/19,13,Mercer County,1,86,73,172,0,0
Model,Jackson City,12/21/19,23,Neutral,2,82,59,175,129,0
OUT_STATE,Community Christian (Paducah),12/21/19,17,OUT_STATE,1,48,31,0,56,0
OUT_STATE,St. Patrick,12/21/19,27,St. Patrick,0,87,60,0,240,0
Tates Creek,Beechwood,12/21/19,19,Beechwood,0,75,56,242,14,0
Trinity (Louisville),Clay County,12/21/19,2,Neutral,2,60,58,248,53,0
Lynn Camp,Garrard County,12/22/19,6,Neutral,2,68,62,155,100,0
McCreary Central,Casey County,12/22/19,14,McCreary Central,1,64,50,168,46,0
Wayne County,Atherton,12/22/19,13,Neutral,2,74,61,260,6,0
Owensboro,Glasgow,12/22/19,9,Neutral,2,73,64,194,102,0
Pleasure Ridge Park,Waggener,12/22/19,12,Neutral,2,76,64,207,254,0
Seneca,Fern Creek,12/22/19,5,Fern Creek,0,57,52,225,86,0
Campbell County,Leslie County,12/22/19,35,Neutral,2,75,40,42,144,0
Elliott County,Rose Hill Christian,12/22/19,43,Neutral,2,88,45,80,216,0
Knox Central,East Ridge,12/22/19,38,Neutral,2,70,32,139,76,0
Raceland,Lawrence County,12/22/19,10,Raceland,1,68,58,212,142,0
Ballard,Collins,12/22/19,7,Neutral,2,88,81,8,55,0
Clay County,OUT_STATE,12/22/19,11,Neutral,2,75,64,53,0,0
Lafayette,Martin County,12/22/19,17,Neutral,2,68,51,140,164,0
Madisonville-North Hopkins,OUT_STATE,12/22/19,6,Neutral,2,64,58,159,0,0
McCracken County,Fairdale,12/22/19,1,Fairdale,0,54,53,167,84,0
North Oldham,Male,12/22/19,7,Neutral,2,78,71,189,161,0
South Oldham,Bardstown,12/22/19,10,Neutral,2,69,59,232,11,0
OUT_STATE,Trinity (Louisville),12/22/19,3,Neutral,2,86,83,0,248,0
Danville,Southwestern,12/22/19,2,Southwestern,0,61,59,65,235,0
OUT_STATE,Campbellsville,12/22/19,37,Neutral,2,73,36,0,43,0
Middlesboro,Casey County,12/22/19,10,Neutral,2,70,60,174,46,0
Pulaski County,Bullitt Central,12/22/19,14,Pulaski County,1,72,58,211,34,0
OUT_STATE,Perry County Central,12/22/19,9,Neutral,2,54,45,0,202,0
Eastern,Taylor County,12/22/19,10,Neutral,2,68,58,77,243,0
Logan County,Hopkins County Central,12/22/19,26,Neutral,2,65,39,152,126,0
Logan County,Clinton County,12/22/19,9,Clinton County,0,65,56,152,54,0
Lynn Camp,Casey County,12/23/19,3,Neutral,2,74,71,155,46,0
McCreary Central,Atherton,12/23/19,3,McCreary Central,1,61,58,168,6,0
Wayne County,Garrard County,12/23/19,5,Neutral,2,39,34,260,100,0
Marshall County,OUT_STATE,12/23/19,5,Neutral,2,55,50,163,0,0
Ballard,North Oldham,12/23/19,10,Neutral,2,82,72,8,189,0
Madisonville-North Hopkins,McCracken County,12/23/19,3,Neutral,2,55,52,159,167,0
Male,Collins,12/23/19,11,Neutral,2,83,72,161,55,0
OUT_STATE,South Oldham,12/23/19,6,Neutral,2,105,99,0,232,0
Perry County Central,OUT_STATE,12/23/19,19,Neutral,2,65,46,202,0,0
Allen County-Scottsville,Warren East,12/23/19,16,Warren East,0,74,58,2,258,0
Cumberland County,Caverna,12/23/19,37,Neutral,2,90,53,64,47,0
St. Xavier,Ohio County,12/23/19,13,Neutral,2,75,62,241,190,0
Bishop Brossart,Holmes,12/23/19,3,Holmes,0,70,67,22,123,0
Franklin-Simpson,Greenwood,12/23/19,2,Franklin-Simpson,1,46,44,94,109,0
Lafayette,Washington County,12/23/19,25,Lafayette,1,59,34,140,259,0
Lyon County,Ballard Memorial,12/23/19,31,Ballard Memorial,0,85,54,156,9,0
Mercer County,Pineville,12/23/19,18,Mercer County,1,91,73,172,206,0
Pike County Central,Floyd Central,12/23/19,1,Floyd Central,0,50,49,204,88,0
Scott County,Bryan Station,12/23/19,1,Bryan Station,0,71,70,224,32,0
Wolfe County,Gallatin County,12/23/19,2,Wolfe County,1,71,69,270,99,0
Bryan Station,OUT_STATE,12/26/19,15,Neutral,2,55,40,32,0,0
Campbellsville,Lyon County,12/26/19,1,Campbellsville,1,64,63,43,156,0
DuPont Manual,Taylor County,12/26/19,28,Neutral,2,76,48,73,243,0
Elizabethtown,East Jessamine,12/26/19,9,Neutral,2,66,57,79,75,0
Pleasure Ridge Park,Washington County,12/26/19,38,Neutral,2,78,40,207,259,0
Bath County,Powell County,12/26/19,37,Bath County,1,79,42,13,209,0
Elliott County,Estill County,12/26/19,1,Neutral,2,57,56,80,82,0
Iroquois,Fleming County,12/26/19,27,Neutral,2,68,41,128,87,0
Shelby County,Menifee County,12/26/19,1,Neutral,2,71,70,227,171,0
Union County,OUT_STATE,12/26/19,25,Neutral,2,69,44,250,0,0
OUT_STATE,Casey County,12/26/19,5,Neutral,2,64,59,0,46,0
Bishop Brossart,Franklin County,12/26/19,10,Neutral,2,71,61,22,93,0
Boone County,Henry County,12/26/19,2,Henry County,0,64,62,23,118,0
Ryle,Western Hills,12/26/19,26,Neutral,2,84,58,221,265,0
South Oldham,Harrison County,12/26/19,29,Neutral,2,77,48,232,113,0
Hazard,OUT_STATE,12/26/19,9,Neutral,2,52,43,115,0,0
OUT_STATE,Trigg County,12/26/19,34,Neutral,2,81,47,0,246,0
OUT_STATE,Doss,12/26/19,0.5,Neutral,2,50,43,0,72,0
Anderson County,Bullitt Central,12/26/19,5,Neutral,2,60,55,3,34,0
Nelson County,Frankfort,12/26/19,7,Nelson County,1,72,65,182,91,0
Knox Central,OUT_STATE,12/26/19,23,Neutral,2,84,61,139,0,0
Seneca,Gallatin County,12/26/19,11,Neutral,2,65,54,225,99,0
Western,Cordia,12/26/19,32,Neutral,2,85,53,264,60,0
Bowling Green,North Hardin,12/26/19,26,Bowling Green,1,68,42,25,187,0
Greenwood,Glasgow,12/26/19,2,Neutral,2,55,53,109,102,0
South Warren,Owensboro,12/26/19,3,Neutral,2,73,70,233,194,0
OUT_STATE,Franklin-Simpson,12/26/19,2,Neutral,2,47,45,0,94,0
Danville,LaRue County,12/26/19,13,Danville,1,70,57,65,141,0
OUT_STATE,Newport Central Catholic,12/26/19,22,Neutral,2,56,34,0,184,0
Adair County,Williamstown,12/26/19,0.5,Williamstown,0,77,65,1,269,0
Breathitt County,Metcalfe County,12/26/19,11,Neutral,2,89,78,29,173,0
McCreary Central,Trinity (Whitesville),12/26/19,28,Neutral,2,76,48,168,249,0
Paris,Burgin,12/26/19,47,Neutral,2,75,28,199,36,0
OUT_STATE,Bryan Station,12/27/19,18,Neutral,2,65,47,0,32,0
OUT_STATE,Grant County,12/27/19,0.5,Neutral,2,75,67,0,103,0
OUT_STATE,Jeffersontown,12/27/19,17,Neutral,2,64,47,0,131,0
Ashland Blazer,Lawrence County,12/27/19,22,Ashland Blazer,1,76,54,5,142,0
Boyd County,Scott County,12/27/19,12,Neutral,2,69,57,26,224,0
Butler,Christian County,12/27/19,14,Neutral,2,53,39,37,51,0
Warren Central,Lewis County,12/27/19,38,Neutral,2,90,52,257,146,0
Covington Catholic,OUT_STATE,12/27/19,23,Neutral,2,66,43,61,0,0
Henderson County,Edmonson County,12/27/19,30,Neutral,2,83,53,116,78,0
Henderson County,Todd County Central,12/27/19,20,Neutral,2,70,50,116,245,0
Ohio County,Todd County Central,12/27/19,31,Ohio County,1,77,46,190,245,0
Ohio County,Edmonson County,12/27/19,10,Ohio County,1,79,69,190,78,0
Oldham County,OUT_STATE,12/27/19,23,Neutral,2,69,46,191,0,0
Carroll County,St. Patrick,12/27/19,24,Neutral,2,83,59,45,240,0
Walton-Verona,Nicholas County,12/27/19,5,Neutral,2,81,76,256,185,0
Wolfe County,Bracken County,12/27/19,1,Bracken County,0,75,74,270,28,0
Betsy Layne,Raceland,12/27/19,13,Neutral,2,64,51,21,212,0
Buckhorn,Lee County,12/27/19,38,Buckhorn,1,82,44,33,143,0
East Jessamine,Taylor County,12/27/19,16,Neutral,2,60,44,75,243,0
Elizabethtown,DuPont Manual,12/27/19,20,Neutral,2,68,48,79,73,0
Lyon County,Washington County,12/27/19,35,Neutral,2,87,52,156,259,0
Pleasure Ridge Park,Campbellsville,12/27/19,24,Campbellsville,0,72,48,207,43,0
OUT_STATE,St. Mary,12/27/19,28,Neutral,2,67,39,0,239,0
Highlands,OUT_STATE,12/27/19,38,Highlands,1,92,54,121,0,0
Waggener,Campbell County,12/27/19,1,Neutral,2,63,62,254,42,0
George Rogers Clark,West Jessamine,12/27/19,4,Neutral,2,78,74,101,263,0
Lexington Christian,Lloyd Memorial,12/27/19,3,Lexington Christian,1,68,65,148,151,0
Lincoln County,Muhlenberg County,12/27/19,9,Neutral,2,51,42,149,180,0
McCracken County,Eastern,12/27/19,4,Neutral,2,63,59,167,77,0
Corbin,OUT_STATE,12/27/19,35,Corbin,1,73,38,59,0,0
OUT_STATE,Williamsburg,12/27/19,38,Neutral,2,73,35,0,268,0
Bath County,Shelby County,12/27/19,3,Bath County,1,79,76,13,227,0
Estill County,Fleming County,12/27/19,10,Neutral,2,56,46,82,87,0
Iroquois,Elliott County,12/27/19,10,Neutral,2,72,62,128,80,0
Menifee County,Powell County,12/27/19,15,Neutral,2,88,73,171,209,0
OUT_STATE,Union County,12/27/19,17,Neutral,2,66,49,0,250,0
Louisville Collegiate,Owensboro Catholic,12/27/19,4,Neutral,2,70,66,153,195,0
Dixie Heights,Montgomery County,12/27/19,24,Montgomery County,0,78,54,71,177,0
Holy Cross (Covington),Knott County Central,12/27/19,26,Neutral,2,75,49,124,138,0
Robertson County,Christian Academy-Louisville,12/27/19,7,Neutral,2,79,72,214,50,0
Woodford County,Mason County,12/27/19,11,Neutral,2,57,46,271,165,0
OUT_STATE,Fulton City,12/27/19,6,Neutral,2,47,41,0,97,0
Hickman County,OUT_STATE,12/27/19,8,Neutral,2,76,68,120,0,0
OUT_STATE,Casey County,12/27/19,32,Neutral,2,91,59,0,46,0
OUT_STATE,Conner,12/27/19,12,Neutral,2,71,59,0,57,0
Hancock County,Caverna,12/27/19,4,Hancock County,1,87,83,110,47,0
Hancock County,Allen County-Scottsville,12/27/19,8,Hancock County,1,68,60,110,2,0
McLean County,Caverna,12/27/19,14,Neutral,2,63,49,169,47,0
Bishop Brossart,Boone County,12/27/19,16,Neutral,2,74,58,22,23,0
Franklin County,Henry County,12/27/19,16,Henry County,0,83,67,93,118,0
South Oldham,Ryle,12/27/19,41,Neutral,2,92,51,232,221,0
Western Hills,Harrison County,12/27/19,21,Neutral,2,83,62,265,113,0
Rowan County,OUT_STATE,12/27/19,11,Neutral,2,39,28,217,0,0
Wayne County,OUT_STATE,12/27/19,3,Neutral,2,58,55,260,0,0
Henry Clay,OUT_STATE,12/27/19,0.5,Neutral,2,72,69,117,0,0
Harlan County,Leslie County,12/27/19,35,Leslie County,0,78,43,112,144,0
OUT_STATE,Graves County,12/27/19,12,Neutral,2,55,43,0,104,0
North Bullitt,OUT_STATE,12/27/19,15,Neutral,2,78,63,186,0,0
Harlan,OUT_STATE,12/27/19,18,Neutral,2,66,48,111,0,0
OUT_STATE,Trimble County,12/27/19,13,Neutral,2,62,49,0,247,0
OUT_STATE,Trimble County,12/27/19,27,Neutral,2,95,68,0,247,0
OUT_STATE,Bullitt East,12/27/19,23,Neutral,2,76,53,0,35,0
OUT_STATE,Villa Madonna,12/27/19,21,Neutral,2,72,51,0,253,0
Marshall County,OUT_STATE,12/27/19,16,Marshall County,1,66,50,163,0,0
Central Hardin,OUT_STATE,12/27/19,23,Neutral,2,67,44,49,0,0
Holy Cross (Louisville),OUT_STATE,12/27/19,6,Neutral,2,55,49,125,0,0
OUT_STATE,Floyd Central,12/27/19,38,OUT_STATE,1,80,42,0,88,0
Russell,OUT_STATE,12/27/19,32,Neutral,2,48,16,218,0,0
OUT_STATE,Marion County,12/27/19,4,Neutral,2,80,76,0,162,0
Newport,OUT_STATE,12/27/19,16,Neutral,2,72,56,183,0,0
Pulaski County,OUT_STATE,12/27/19,13,Neutral,2,83,70,211,0,0
Southwestern,OUT_STATE,12/27/19,18,Neutral,2,64,46,235,0,0
University Heights,Somerset,12/27/19,6,Neutral,2,63,57,251,230,0
OUT_STATE,Hazard,12/27/19,2,Neutral,2,66,64,0,115,0
OUT_STATE,Hazard,12/27/19,1,Neutral,2,51,50,0,115,0
Bell County,Barren County,12/27/19,0.5,Neutral,2,67,61,16,12,0
Owen County,Russell County,12/27/19,9,Neutral,2,52,43,193,219,0
South Laurel,Lynn Camp,12/27/19,24,South Laurel,1,59,35,231,155,0
St. Xavier,OUT_STATE,12/27/19,28,Neutral,2,77,49,241,0,0
OUT_STATE,Trigg County,12/27/19,19,Neutral,2,68,49,0,246,0
Webster County,OUT_STATE,12/27/19,43,Neutral,2,67,24,261,0,0
Ballard,OUT_STATE,12/27/19,29,Neutral,2,105,76,8,0,0
Doss,OUT_STATE,12/27/19,10,Neutral,2,58,48,72,0,0
Doss,OUT_STATE,12/27/19,10,Neutral,2,58,48,72,0,0
Belfry,Perry County Central,12/27/19,5,Belfry,1,76,71,15,202,0
OUT_STATE,Johnson Central,12/27/19,15,Neutral,2,81,66,0,134,0
Magoffin County,Whitley County,12/27/19,9,Neutral,2,65,56,160,267,0
Sayre,Phelps,12/27/19,3,Neutral,2,60,57,222,203,0
Shelby Valley,West Carter,12/27/19,2,Neutral,2,60,58,228,262,0
Calloway County,Livingston Central,12/27/19,41,Calloway County,1,69,28,40,150,0
Calloway County,Fulton County,12/27/19,32,Calloway County,1,74,42,40,98,0
Mayfield,Livingston Central,12/27/19,38,Neutral,2,66,28,166,150,0
Mayfield,Fulton County,12/27/19,30,Neutral,2,71,41,166,98,0
Anderson County,Frankfort,12/27/19,9,Neutral,2,50,41,3,91,0
Nelson County,Bullitt Central,12/27/19,4,Nelson County,1,63,59,182,34,0
Gallatin County,OUT_STATE,12/27/19,13,Neutral,2,59,46,99,0,0
Knox Central,Western,12/27/19,13,Neutral,2,71,58,139,264,0
Seneca,Cordia,12/27/19,11,Neutral,2,69,58,225,60,0
OUT_STATE,Apollo,12/27/19,7,Neutral,2,55,48,0,4,0
OUT_STATE,Apollo,12/27/19,10,Neutral,2,57,47,0,4,0
Pikeville,Scott,12/27/19,13,Pikeville,1,78,65,205,223,0
Southern,Pike County Central,12/27/19,12,Neutral,2,65,53,234,204,0
Bowling Green,OUT_STATE,12/27/19,9,Bowling Green,1,55,46,25,0,0
Franklin-Simpson,Owensboro,12/27/19,2,Neutral,2,73,71,94,194,0
Glasgow,North Hardin,12/27/19,18,Neutral,2,67,49,102,187,0
Greenwood,South Warren,12/27/19,19,Neutral,2,59,40,109,233,0
Danville,Middlesboro,12/27/19,26,Danville,1,64,38,65,174,0
Mercer County,Augusta,12/27/19,1,Neutral,2,57,56,172,7,0
Spencer County,LaRue County,12/27/19,0.5,Neutral,2,66,54,236,141,0
Dayton,OUT_STATE,12/27/19,42,Neutral,2,68,26,69,0,0
OUT_STATE,North Laurel,12/27/19,4,Neutral,2,53,49,0,188,0
Carlisle County,Hart County,12/27/19,11,Neutral,2,56,45,44,114,0
Clinton County,Grayson County,12/27/19,8,Neutral,2,46,38,54,105,0
OUT_STATE,Green County,12/27/19,10,Neutral,2,67,57,0,107,0
Great Crossing,Hopkinsville,12/27/19,3,Neutral,2,53,50,106,127,0
Logan County,Daviess County,12/27/19,30,Logan County,1,68,38,152,67,0
Murray,Cumberland County,12/27/19,12,Neutral,2,72,60,181,64,0
Murray,OUT_STATE,12/27/19,32,Neutral,2,80,48,181,0,0
Russellville,Beth Haven,12/27/19,5,Russellville,1,74,69,220,19,0
Carlisle County,Russellville,12/27/19,10,Russellville,0,59,49,44,220,0
Green County,Cumberland County,12/27/19,2,Neutral,2,67,65,107,64,0
Hart County,Beth Haven,12/27/19,39,Neutral,2,102,63,114,19,0
Barbourville,OUT_STATE,12/27/19,16,Neutral,2,58,42,10,0,0
OUT_STATE,Crittenden County,12/27/19,27,Neutral,2,62,35,0,63,0
Rockcastle County,East Carter,12/27/19,6,Neutral,2,55,49,215,74,0
OUT_STATE,Newport Central Catholic,12/27/19,8,Neutral,2,52,44,0,184,0
OUT_STATE,Lafayette,12/27/19,2,Neutral,2,50,48,0,140,0
OUT_STATE,Breckinridge County,12/27/19,34,Neutral,2,76,42,0,30,0
OUT_STATE,Fairdale,12/27/19,8,Neutral,2,80,72,0,84,0
Bardstown,Cooper,12/27/19,8,Neutral,2,57,49,11,58,0
Beechwood,Paintsville,12/27/19,7,Neutral,2,57,50,14,198,0
Bourbon County,Madison Central,12/27/19,7,Neutral,2,53,46,24,157,0
Collins,Tates Creek,12/27/19,2,Neutral,2,65,63,55,242,0
Frederick Douglass,North Oldham,12/27/19,4,Neutral,2,74,70,95,189,0
Lexington Catholic,Martin County,12/27/19,26,Lexington Catholic,1,81,55,147,164,0
Madisonville-North Hopkins,Central,12/27/19,20,Neutral,2,64,44,159,48,0
Simon Kenton,Paul Laurence Dunbar,12/27/19,1,Neutral,2,42,41,229,200,0
OUT_STATE,Paducah Tilghman,12/27/19,19,Neutral,2,56,37,0,197,0
OUT_STATE,Caldwell County,12/27/19,5,Caldwell County,0,52,47,0,39,0
Christian Fellowship,Portland Christian,12/27/19,11,Neutral,2,63,52,52,208,0
Shawnee,Whitefield Academy,12/27/19,9,Whitefield Academy,0,74,65,226,266,0
Adair County,McCreary Central,12/27/19,9,Neutral,2,63,54,1,168,0
Breathitt County,Paris,12/27/19,17,Neutral,2,77,60,29,199,0
Metcalfe County,Burgin,12/27/19,17,Neutral,2,78,61,173,36,0
Trinity (Whitesville),Williamstown,12/27/19,9,Williamstown,0,65,56,249,269,0
OUT_STATE,Fort Campbell,12/27/19,50,Neutral,2,84,34,0,89,0
OUT_STATE,Prestonsburg,12/27/19,12,Neutral,2,60,48,0,210,0
Bethlehem,Letcher County Central,12/27/19,6,Bethlehem,1,66,60,20,145,0
Danville Christian,Walden,12/27/19,4,Walden,0,56,52,66,255,0
OUT_STATE,Fairview,12/27/19,33,OUT_STATE,1,72,39,0,85,0
Greenup County,OUT_STATE,12/27/19,14,Greenup County,1,68,54,108,0,0
Jackson City,Lee County,12/27/19,34,Neutral,2,84,50,129,143,0
St. Henry,Ludlow,12/27/19,42,St. Henry,1,86,44,238,154,0
Trinity (Louisville),OUT_STATE,12/27/19,2,Trinity (Louisville),1,39,37,248,0,0
OUT_STATE,Bryan Station,12/28/19,11,Neutral,2,63,52,0,32,0
Grant County,OUT_STATE,12/28/19,13,Neutral,2,57,44,103,0,0
Ashland Blazer,Warren Central,12/28/19,4,Ashland Blazer,1,59,55,5,257,0
Butler,Boyd County,12/28/19,20,Neutral,2,86,66,37,26,0
Lawrence County,Lewis County,12/28/19,5,Neutral,2,65,60,142,146,0
Scott County,Christian County,12/28/19,6,Neutral,2,55,49,224,51,0
Covington Catholic,OUT_STATE,12/28/19,7,Neutral,2,63,56,61,0,0
Edmonson County,Todd County Central,12/28/19,27,Neutral,2,68,41,78,245,0
Ohio County,Henderson County,12/28/19,4,Ohio County,1,79,75,190,116,0
Oldham County,OUT_STATE,12/28/19,12,Neutral,2,66,54,191,0,0
Carroll County,Bracken County,12/28/19,7,Bracken County,0,74,67,45,28,0
Walton-Verona,St. Patrick,12/28/19,40,Neutral,2,84,44,256,240,0
Wolfe County,Nicholas County,12/28/19,20,Neutral,2,74,54,270,185,0
Betsy Layne,Owsley County,12/28/19,24,Neutral,2,86,62,21,196,0
Buckhorn,Jackson City,12/28/19,14,Buckhorn,1,65,51,33,129,0
DuPont Manual,Campbellsville,12/28/19,17,Campbellsville,0,58,41,73,43,0
East Jessamine,Lyon County,12/28/19,13,Neutral,2,63,50,75,156,0
Elizabethtown,Pleasure Ridge Park,12/28/19,10,Neutral,2,84,74,79,207,0
Taylor County,Washington County,12/28/19,20,Neutral,2,75,55,243,259,0
St. Mary,OUT_STATE,12/28/19,42,Neutral,2,59,17,239,0,0
Campbell County,OUT_STATE,12/28/19,19,Neutral,2,79,60,42,0,0
Highlands,Waggener,12/28/19,34,Highlands,1,91,57,121,254,0
Eastern,West Jessamine,12/28/19,12,Neutral,2,75,63,77,263,0
Lexington Christian,Lincoln County,12/28/19,1,Lexington Christian,1,56,55,148,149,0
Lloyd Memorial,Muhlenberg County,12/28/19,0.5,Neutral,2,69,68,151,180,0
McCracken County,George Rogers Clark,12/28/19,2,Neutral,2,77,75,167,101,0
Clay County,Williamsburg,12/28/19,4,Neutral,2,74,70,53,268,0
John Hardin,OUT_STATE,12/28/19,63,Neutral,2,88,25,133,0,0
Elliott County,Shelby County,12/28/19,22,Neutral,2,74,52,80,227,0
Estill County,Menifee County,12/28/19,8,Neutral,2,64,56,82,171,0
Iroquois,Bath County,12/28/19,3,Bath County,0,57,54,128,13,0
Powell County,Fleming County,12/28/19,3,Neutral,2,66,63,209,87,0
OUT_STATE,Union County,12/28/19,15,Neutral,2,59,44,0,250,0
Union County,OUT_STATE,12/28/19,28,Neutral,2,60,32,250,0,0
Dixie Heights,Robertson County,12/28/19,2,Neutral,2,60,58,71,214,0
Knott County Central,Mason County,12/28/19,4,Neutral,2,66,62,138,165,0
Montgomery County,Christian Academy-Louisville,12/28/19,24,Montgomery County,1,64,40,177,50,0
Woodford County,Holy Cross (Covington),12/28/19,9,Neutral,2,74,65,271,124,0
Fulton City,OUT_STATE,12/28/19,34,Neutral,2,59,25,97,0,0
OUT_STATE,Hickman County,12/28/19,24,Neutral,2,83,59,0,120,0
Casey County,OUT_STATE,12/28/19,10,Neutral,2,68,58,46,0,0
South Warren,OUT_STATE,12/28/19,3,Neutral,2,52,49,233,0,0
Conner,OUT_STATE,12/28/19,5,Neutral,2,67,62,57,0,0
Bishop Brossart,South Oldham,12/28/19,5,Neutral,2,67,62,22,232,0
Henry County,Harrison County,12/28/19,5,Henry County,1,66,61,118,113,0
